iteration,gateway,signal,down_ts_ms,up_ts_ms,downtime_ms
1,caddy,SIGTERM,1764005456540,1764005456802,262
2,caddy,SIGTERM,1764005458876,1764005459200,324
3,caddy,SIGTERM,1764005461239,1764005461552,313
4,caddy,SIGTERM,1764005463606,1764005463891,285
5,caddy,SIGTERM,1764005465945,1764005466263,318
6,caddy,SIGTERM,1764005468316,1764005468590,274
7,caddy,SIGTERM,1764005470649,1764005470953,304
8,caddy,SIGTERM,1764005473009,1764005473319,310
9,caddy,SIGTERM,1764005475372,1764005475643,271
10,caddy,SIGTERM,1764005477686,1764005477975,289
11,caddy,SIGTERM,1764005480022,1764005480317,295
12,caddy,SIGTERM,1764005482359,1764005482646,287
13,caddy,SIGTERM,1764005484685,1764005484982,297
14,caddy,SIGTERM,1764005487037,1764005487353,316
15,caddy,SIGTERM,1764005489407,1764005489699,292
16,caddy,SIGTERM,1764005491736,1764005492049,313
17,caddy,SIGTERM,1764005494101,1764005494406,305
18,caddy,SIGTERM,1764005496444,1764005496724,280
19,caddy,SIGTERM,1764005498766,1764005499071,305
20,caddy,SIGTERM,1764005501132,1764005501419,287
21,caddy,SIGTERM,1764005503455,1764005503755,300
22,caddy,SIGTERM,1764005505785,1764005506070,285
23,caddy,SIGTERM,1764005508111,1764005508387,276
24,caddy,SIGTERM,1764005510425,1764005510701,276
25,caddy,SIGTERM,1764005512755,1764005513062,307
26,caddy,SIGTERM,1764005515110,1764005515412,302
27,caddy,SIGTERM,1764005517454,1764005517753,299
28,caddy,SIGTERM,1764005519818,1764005520111,293
29,caddy,SIGTERM,1764005522153,1764005522448,295
30,caddy,SIGTERM,1764005524490,1764005524818,328
31,caddy,SIGTERM,1764005526882,1764005527207,325
32,caddy,SIGTERM,1764005529263,1764005529567,304
33,caddy,SIGTERM,1764005531603,1764005531939,336
34,caddy,SIGTERM,1764005533997,1764005534299,302
35,caddy,SIGTERM,1764005536363,1764005536653,290
36,caddy,SIGTERM,1764005538690,1764005538998,308
37,caddy,SIGTERM,1764005541058,1764005541355,297
38,caddy,SIGTERM,1764005543393,1764005543682,289
39,caddy,SIGTERM,1764005545743,1764005546039,296
40,caddy,SIGTERM,1764005548100,1764005548427,327
41,caddy,SIGTERM,1764005550490,1764005550774,284
42,caddy,SIGTERM,1764005552819,1764005553141,322
43,caddy,SIGTERM,1764005555197,1764005555490,293
44,caddy,SIGTERM,1764005557541,1764005557852,311
45,caddy,SIGTERM,1764005559896,1764005560182,286
46,caddy,SIGTERM,1764005562238,1764005562584,346
47,caddy,SIGTERM,1764005564641,1764005564944,303
48,caddy,SIGTERM,1764005567000,1764005567309,309
49,caddy,SIGTERM,1764005569368,1764005569648,280
50,caddy,SIGTERM,1764005571699,1764005572016,317
51,caddy,SIGTERM,1764005574053,1764005574358,305
52,caddy,SIGTERM,1764005576416,1764005576746,330
53,caddy,SIGTERM,1764005578792,1764005579123,331
54,caddy,SIGTERM,1764005581177,1764005581492,315
55,caddy,SIGTERM,1764005583532,1764005583854,322
56,caddy,SIGTERM,1764005585905,1764005586194,289
57,caddy,SIGTERM,1764005588253,1764005588552,299
