iteration,gateway,signal,down_ts_ms,up_ts_ms,downtime_ms
1,haproxy,SIGTERM,1764005942638,1764005942909,271
2,haproxy,SIGTERM,1764005944966,1764005945276,310
3,haproxy,SIGTERM,1764005947335,1764005947656,321
4,haproxy,SIGTERM,1764005949717,1764005950030,313
5,haproxy,SIGTERM,1764005952076,1764005952435,359
6,haproxy,SIGTERM,1764005954495,1764005954835,340
7,haproxy,SIGTERM,1764005956876,1764005957187,311
8,haproxy,SIGTERM,1764005959229,1764005959549,320
9,haproxy,SIGTERM,1764005961580,1764005961909,329
10,haproxy,SIGTERM,1764005963956,1764005964265,309
11,haproxy,SIGTERM,1764005966313,1764005966623,310
12,haproxy,SIGTERM,1764005968661,1764005968921,260
13,haproxy,SIGTERM,1764005970971,1764005971272,301
14,haproxy,SIGTERM,1764005973310,1764005973600,290
15,haproxy,SIGTERM,1764005975652,1764005975955,303
16,haproxy,SIGTERM,1764005978012,1764005978310,298
17,haproxy,SIGTERM,1764005980368,1764005980652,284
18,haproxy,SIGTERM,1764005982708,1764005983016,308
19,haproxy,SIGTERM,1764005985058,1764005985374,316
20,haproxy,SIGTERM,1764005987435,1764005987698,263
21,haproxy,SIGTERM,1764005989760,1764005990074,314
22,haproxy,SIGTERM,1764005992129,1764005992411,282
23,haproxy,SIGTERM,1764005994461,1764005994735,274
24,haproxy,SIGTERM,1764005996781,1764005997071,290
25,haproxy,SIGTERM,1764005999123,1764005999417,294
26,haproxy,SIGTERM,1764006001472,1764006001767,295
27,haproxy,SIGTERM,1764006003804,1764006004109,305
28,haproxy,SIGTERM,1764006006173,1764006006489,316
29,haproxy,SIGTERM,1764006008547,1764006008857,310
30,haproxy,SIGTERM,1764006010914,1764006011188,274
31,haproxy,SIGTERM,1764006013248,1764006013555,307
32,haproxy,SIGTERM,1764006015607,1764006015896,289
33,haproxy,SIGTERM,1764006017933,1764006018235,302
34,haproxy,SIGTERM,1764006020283,1764006020576,293
35,haproxy,SIGTERM,1764006022617,1764006022931,314
36,haproxy,SIGTERM,1764006024984,1764006025266,282
37,haproxy,SIGTERM,1764006027325,1764006027626,301
38,haproxy,SIGTERM,1764006029676,1764006029995,319
39,haproxy,SIGTERM,1764006032042,1764006032316,274
40,haproxy,SIGTERM,1764006034351,1764006034649,298
41,haproxy,SIGTERM,1764006036700,1764006037012,312
42,haproxy,SIGTERM,1764006039062,1764006039384,322
43,haproxy,SIGTERM,1764006041431,1764006041720,289
44,haproxy,SIGTERM,1764006043765,1764006044089,324
45,haproxy,SIGTERM,1764006046140,1764006046440,300
46,haproxy,SIGTERM,1764006048478,1764006048755,277
47,haproxy,SIGTERM,1764006050800,1764006051100,300
48,haproxy,SIGTERM,1764006053156,1764006053435,279
49,haproxy,SIGTERM,1764006055489,1764006055796,307
50,haproxy,SIGTERM,1764006057858,1764006058160,302
51,haproxy,SIGTERM,1764006060199,1764006060488,289
