iteration,gateway,signal,down_ts_ms,up_ts_ms,downtime_ms
1,nginx,SIGTERM,1764174407256,1764174407513,257
2,nginx,SIGTERM,1764174409582,1764174409840,258
3,nginx,SIGTERM,1764174411907,1764174412192,285
4,nginx,SIGTERM,1764174414277,1764174414523,246
5,nginx,SIGTERM,1764174416600,1764174416837,237
6,nginx,SIGTERM,1764174418896,1764174419144,248
7,nginx,SIGTERM,1764174421199,1764174421435,236
8,nginx,SIGTERM,1764174423502,1764174423728,226
9,nginx,SIGTERM,1764174425794,1764174426041,247
10,nginx,SIGTERM,1764174428119,1764174428376,257
11,nginx,SIGTERM,1764174430428,1764174430685,257
12,nginx,SIGTERM,1764174432744,1764174432987,243
13,nginx,SIGTERM,1764174435053,1764174435324,271
14,nginx,SIGTERM,1764174437396,1764174437671,275
15,nginx,SIGTERM,1764174439753,1764174439983,230
16,nginx,SIGTERM,1764174442045,1764174442306,261
17,nginx,SIGTERM,1764174444370,1764174444620,250
18,nginx,SIGTERM,1764174446690,1764174446940,250
19,nginx,SIGTERM,1764174449028,1764174449297,269
20,nginx,SIGTERM,1764174451387,1764174451650,263
21,nginx,SIGTERM,1764174453702,1764174453954,252
22,nginx,SIGTERM,1764174456009,1764174456275,266
23,nginx,SIGTERM,1764174458352,1764174458611,259
24,nginx,SIGTERM,1764174460684,1764174460922,238
25,nginx,SIGTERM,1764174462995,1764174463226,231
26,nginx,SIGTERM,1764174465286,1764174465533,247
27,nginx,SIGTERM,1764174467598,1764174467858,260
28,nginx,SIGTERM,1764174469935,1764174470193,258
29,nginx,SIGTERM,1764174472257,1764174472513,256
30,nginx,SIGTERM,1764174474578,1764174474885,307
31,nginx,SIGTERM,1764174476945,1764174477172,227
32,nginx,SIGTERM,1764174479235,1764174479487,252
33,nginx,SIGTERM,1764174481567,1764174481801,234
34,nginx,SIGTERM,1764174483859,1764174484107,248
35,nginx,SIGTERM,1764174486204,1764174486487,283
36,nginx,SIGTERM,1764174488571,1764174488806,235
37,nginx,SIGTERM,1764174490874,1764174491151,277
38,nginx,SIGTERM,1764174493238,1764174493490,252
39,nginx,SIGTERM,1764174495559,1764174495802,243
40,nginx,SIGTERM,1764174497872,1764174498123,251
41,nginx,SIGTERM,1764174500193,1764174500432,239
42,nginx,SIGTERM,1764174502491,1764174502735,244
43,nginx,SIGTERM,1764174504801,1764174505070,269
44,nginx,SIGTERM,1764174507142,1764174507394,252
45,nginx,SIGTERM,1764174509461,1764174509700,239
46,nginx,SIGTERM,1764174511767,1764174512026,259
47,nginx,SIGTERM,1764174514085,1764174514340,255
48,nginx,SIGTERM,1764174516407,1764174516655,248
49,nginx,SIGTERM,1764174518722,1764174518958,236
50,nginx,SIGTERM,1764174521039,1764174521282,243
51,nginx,SIGTERM,1764174523359,1764174523602,243
