iteration,gateway,signal,down_ts_ms,up_ts_ms,downtime_ms
1,traefik,SIGTERM,1764006426435,1764006426918,483
2,traefik,SIGTERM,1764006428962,1764006429598,636
3,traefik,SIGTERM,1764006431639,1764006432276,637
4,traefik,SIGTERM,1764006434333,1764006434823,490
5,traefik,SIGTERM,1764006436873,1764006437440,567
6,traefik,SIGTERM,1764006439496,1764006440038,542
7,traefik,SIGTERM,1764006442091,1764006442581,490
8,traefik,SIGTERM,1764006444640,1764006445196,556
9,traefik,SIGTERM,1764006447253,1764006447956,703
10,traefik,SIGTERM,1764006450015,1764006450404,389
11,traefik,SIGTERM,1764006452461,1764006452923,462
12,traefik,SIGTERM,1764006454979,1764006455473,494
13,traefik,SIGTERM,1764006457534,1764006457955,421
14,traefik,SIGTERM,1764006460011,1764006460658,647
15,traefik,SIGTERM,1764006462727,1764006463371,644
16,traefik,SIGTERM,1764006465429,1764006465881,452
17,traefik,SIGTERM,1764006467936,1764006468488,552
18,traefik,SIGTERM,1764006470543,1764006470890,347
19,traefik,SIGTERM,1764006472948,1764006473397,449
20,traefik,SIGTERM,1764006475455,1764006476065,610
21,traefik,SIGTERM,1764006478123,1764006478803,680
22,traefik,SIGTERM,1764006480859,1764006481350,491
23,traefik,SIGTERM,1764006483391,1764006483959,568
24,traefik,SIGTERM,1764006486011,1764006486559,548
25,traefik,SIGTERM,1764006488624,1764006489109,485
26,traefik,SIGTERM,1764006491166,1764006491671,505
27,traefik,SIGTERM,1764006493730,1764006494149,419
28,traefik,SIGTERM,1764006496205,1764006496920,715
29,traefik,SIGTERM,1764006498975,1764006499460,485
30,traefik,SIGTERM,1764006501513,1764006501976,463
31,traefik,SIGTERM,1764006504020,1764006504665,645
32,traefik,SIGTERM,1764006506728,1764006507670,942
33,traefik,SIGTERM,1764006509721,1764006510209,488
34,traefik,SIGTERM,1764006512267,1764006512803,536
35,traefik,SIGTERM,1764006514850,1764006515278,428
36,traefik,SIGTERM,1764006517332,1764006517920,588
37,traefik,SIGTERM,1764006519966,1764006520552,586
38,traefik,SIGTERM,1764006522611,1764006522982,371
39,traefik,SIGTERM,1764006525032,1764006525488,456
40,traefik,SIGTERM,1764006527532,1764006528013,481
41,traefik,SIGTERM,1764006530057,1764006530686,629
42,traefik,SIGTERM,1764006532740,1764006533165,425
43,traefik,SIGTERM,1764006535206,1764006536017,811
44,traefik,SIGTERM,1764006538054,1764006538780,726
45,traefik,SIGTERM,1764006540841,1764006541434,593
46,traefik,SIGTERM,1764006543475,1764006544124,649
47,traefik,SIGTERM,1764006546163,1764006547123,960
48,traefik,SIGTERM,1764006549153,1764006549664,511
49,traefik,SIGTERM,1764006551701,1764006552285,584
50,traefik,SIGTERM,1764006554339,1764006555101,762
51,traefik,SIGTERM,1764006557167,1764006557887,720
52,traefik,SIGTERM,1764006559944,1764006560495,551
53,traefik,SIGTERM,1764006562549,1764006563351,802
54,traefik,SIGTERM,1764006565415,1764006566437,1022
55,traefik,SIGTERM,1764006568473,1764006568935,462
56,traefik,SIGTERM,1764006570993,1764006571466,473
57,traefik,SIGTERM,1764006573518,1764006574209,691
58,traefik,SIGTERM,1764006576250,1764006576735,485
59,traefik,SIGTERM,1764006578791,1764006579356,565
60,traefik,SIGTERM,1764006581408,1764006581906,498
61,traefik,SIGTERM,1764006583951,1764006584410,459
62,traefik,SIGTERM,1764006586443,1764006587012,569
63,traefik,SIGTERM,1764006589069,1764006589755,686
64,traefik,SIGTERM,1764006591793,1764006592305,512
65,traefik,SIGTERM,1764006594363,1764006594832,469
66,traefik,SIGTERM,1764006596879,1764006597530,651
67,traefik,SIGTERM,1764006599587,1764006599958,371
68,traefik,SIGTERM,1764006602004,1764006602526,522
69,traefik,SIGTERM,1764006604578,1764006605143,565
70,traefik,SIGTERM,1764006607184,1764006607722,538
71,traefik,SIGTERM,1764006609772,1764006610100,328
72,traefik,SIGTERM,1764006612147,1764006612847,700
