iteration,gateway,signal,down_ts_ms,up_ts_ms,downtime_ms
1,tyk,SIGTERM,1764007288657,1764007290026,1369
2,tyk,SIGTERM,1764007292087,1764007293495,1408
3,tyk,SIGTERM,1764007295537,1764007296926,1389
4,tyk,SIGTERM,1764007298970,1764007300352,1382
5,tyk,SIGTERM,1764007302392,1764007303790,1398
6,tyk,SIGTERM,1764007305829,1764007307195,1366
7,tyk,SIGTERM,1764007309236,1764007310581,1345
8,tyk,SIGTERM,1764007312622,1764007313971,1349
9,tyk,SIGTERM,1764007316019,1764007317419,1400
10,tyk,SIGTERM,1764007319464,1764007320862,1398
11,tyk,SIGTERM,1764007322904,1764007324266,1362
12,tyk,SIGTERM,1764007326316,1764007327713,1397
13,tyk,SIGTERM,1764007329748,1764007331106,1358
14,tyk,SIGTERM,1764007333154,1764007334537,1383
15,tyk,SIGTERM,1764007336600,1764007337974,1374
16,tyk,SIGTERM,1764007340025,1764007341417,1392
17,tyk,SIGTERM,1764007343455,1764007344839,1384
18,tyk,SIGTERM,1764007346900,1764007348285,1385
19,tyk,SIGTERM,1764007350328,1764007351688,1360
20,tyk,SIGTERM,1764007353723,1764007355075,1352
21,tyk,SIGTERM,1764007357126,1764007358476,1350
22,tyk,SIGTERM,1764007360525,1764007361903,1378
23,tyk,SIGTERM,1764007363957,1764007365329,1372
24,tyk,SIGTERM,1764007367366,1764007368759,1393
25,tyk,SIGTERM,1764007370816,1764007372224,1408
26,tyk,SIGTERM,1764007374283,1764007375681,1398
27,tyk,SIGTERM,1764007377741,1764007379141,1400
28,tyk,SIGTERM,1764007381188,1764007382569,1381
29,tyk,SIGTERM,1764007384604,1764007385983,1379
30,tyk,SIGTERM,1764007388043,1764007389442,1399
31,tyk,SIGTERM,1764007391489,1764007392861,1372
32,tyk,SIGTERM,1764007394905,1764007396287,1382
33,tyk,SIGTERM,1764007398323,1764007399701,1378
34,tyk,SIGTERM,1764007401756,1764007403157,1401
35,tyk,SIGTERM,1764007405198,1764007406584,1386
36,tyk,SIGTERM,1764007408626,1764007409982,1356
37,tyk,SIGTERM,1764007412035,1764007413415,1380
38,tyk,SIGTERM,1764007415458,1764007416806,1348
39,tyk,SIGTERM,1764007418847,1764007420220,1373
40,tyk,SIGTERM,1764007422257,1764007423649,1392
41,tyk,SIGTERM,1764007425703,1764007427072,1369
42,tyk,SIGTERM,1764007429119,1764007430523,1404
43,tyk,SIGTERM,1764007432577,1764007433967,1390
44,tyk,SIGTERM,1764007436006,1764007437391,1385
45,tyk,SIGTERM,1764007439447,1764007440832,1385
46,tyk,SIGTERM,1764007442894,1764007444320,1426
47,tyk,SIGTERM,1764007446375,1764007447733,1358
48,tyk,SIGTERM,1764007449784,1764007451149,1365
49,tyk,SIGTERM,1764007453213,1764007454614,1401
50,tyk,SIGTERM,1764007456675,1764007458057,1382
51,tyk,SIGTERM,1764007460113,1764007461507,1394
52,tyk,SIGTERM,1764007463556,1764007464956,1400
53,tyk,SIGTERM,1764007467022,1764007468390,1368
54,tyk,SIGTERM,1764007470435,1764007471829,1394
55,tyk,SIGTERM,1764007473888,1764007475271,1383
56,tyk,SIGTERM,1764007477323,1764007478672,1349
57,tyk,SIGTERM,1764007480731,1764007482130,1399
58,tyk,SIGTERM,1764007484168,1764007485542,1374
59,tyk,SIGTERM,1764007487586,1764007488991,1405
60,tyk,SIGTERM,1764007491047,1764007492457,1410
61,tyk,SIGTERM,1764007494504,1764007495873,1369
62,tyk,SIGTERM,1764007497917,1764007499289,1372
63,tyk,SIGTERM,1764007501328,1764007502683,1355
64,tyk,SIGTERM,1764007504721,1764007506090,1369
65,tyk,SIGTERM,1764007508136,1764007509544,1408
66,tyk,SIGTERM,1764007511582,1764007512983,1401
67,tyk,SIGTERM,1764007515015,1764007516364,1349
68,tyk,SIGTERM,1764007518425,1764007519801,1376
69,tyk,SIGTERM,1764007521844,1764007523208,1364
70,tyk,SIGTERM,1764007525254,1764007526674,1420
71,tyk,SIGTERM,1764007528710,1764007530058,1348
72,tyk,SIGTERM,1764007532096,1764007533482,1386
73,tyk,SIGTERM,1764007535525,1764007536911,1386
74,tyk,SIGTERM,1764007538953,1764007540342,1389
75,tyk,SIGTERM,1764007542403,1764007543822,1419
76,tyk,SIGTERM,1764007545888,1764007547258,1370
77,tyk,SIGTERM,1764007549319,1764007550724,1405
78,tyk,SIGTERM,1764007552775,1764007554121,1346
79,tyk,SIGTERM,1764007556158,1764007557540,1382
80,tyk,SIGTERM,1764007559600,1764007560985,1385
81,tyk,SIGTERM,1764007563032,1764007564413,1381
82,tyk,SIGTERM,1764007566457,1764007567838,1381
83,tyk,SIGTERM,1764007569874,1764007571281,1407
84,tyk,SIGTERM,1764007573337,1764007574713,1376
85,tyk,SIGTERM,1764007576762,1764007578169,1407
86,tyk,SIGTERM,1764007580218,1764007581619,1401
87,tyk,SIGTERM,1764007583677,1764007585040,1363
88,tyk,SIGTERM,1764007587087,1764007588495,1408
89,tyk,SIGTERM,1764007590534,1764007591888,1354
90,tyk,SIGTERM,1764007593926,1764007595290,1364
91,tyk,SIGTERM,1764007597348,1764007598710,1362
92,tyk,SIGTERM,1764007600747,1764007602121,1374
93,tyk,SIGTERM,1764007604179,1764007605521,1342
94,tyk,SIGTERM,1764007607569,1764007608987,1418
95,tyk,SIGTERM,1764007611034,1764007612432,1398
96,tyk,SIGTERM,1764007614489,1764007615877,1388
97,tyk,SIGTERM,1764007617919,1764007619279,1360
98,tyk,SIGTERM,1764007621313,1764007622680,1367
99,tyk,SIGTERM,1764007624718,1764007626108,1390
100,tyk,SIGTERM,1764007628147,1764007629489,1342
1,tyk,SIGKILL,1764007631682,1764007631955,273
2,tyk,SIGKILL,1764007634120,1764007634376,256
3,tyk,SIGKILL,1764007636597,1764007636855,258
4,tyk,SIGKILL,1764007639025,1764007639272,247
5,tyk,SIGKILL,1764007641448,1764007641680,232
6,tyk,SIGKILL,1764007643851,1764007644105,254
7,tyk,SIGKILL,1764007646314,1764007646571,257
8,tyk,SIGKILL,1764007648754,1764007648986,232
9,tyk,SIGKILL,1764007651162,1764007651486,324
10,tyk,SIGKILL,1764007653682,1764007653923,241
11,tyk,SIGKILL,1764007656096,1764007656328,232
12,tyk,SIGKILL,1764007658506,1764007658764,258
13,tyk,SIGKILL,1764007660938,1764007661159,221
14,tyk,SIGKILL,1764007663328,1764007663569,241
15,tyk,SIGKILL,1764007665732,1764007665984,252
16,tyk,SIGKILL,1764007668181,1764007668438,257
17,tyk,SIGKILL,1764007670648,1764007670896,248
18,tyk,SIGKILL,1764007673092,1764007673322,230
19,tyk,SIGKILL,1764007675509,1764007675759,250
20,tyk,SIGKILL,1764007677942,1764007678175,233
