iteration,gateway,signal,down_ts_ms,up_ts_ms,downtime_ms
1,tyk,SIGTERM,1764355171909,1764355174296,2387
2,tyk,SIGTERM,1764355176348,1764355178720,2372
3,tyk,SIGTERM,1764355180777,1764355183202,2425
4,tyk,SIGTERM,1764355185255,1764355187631,2376
5,tyk,SIGTERM,1764355189666,1764355192025,2359
6,tyk,SIGTERM,1764355194087,1764355196464,2377
7,tyk,SIGTERM,1764355198519,1764355200871,2352
8,tyk,SIGTERM,1764355202927,1764355205343,2416
9,tyk,SIGTERM,1764355207399,1764355209741,2342
10,tyk,SIGTERM,1764355211796,1764355214159,2363
11,tyk,SIGTERM,1764355216194,1764355218613,2419
12,tyk,SIGTERM,1764355220665,1764355223072,2407
13,tyk,SIGTERM,1764355225125,1764355227502,2377
14,tyk,SIGTERM,1764355229540,1764355231889,2349
15,tyk,SIGTERM,1764355233945,1764355236290,2345
16,tyk,SIGTERM,1764355238336,1764355240729,2393
17,tyk,SIGTERM,1764355242779,1764355245193,2414
18,tyk,SIGTERM,1764355247245,1764355249665,2420
19,tyk,SIGTERM,1764355251718,1764355254113,2395
20,tyk,SIGTERM,1764355256170,1764355258587,2417
21,tyk,SIGTERM,1764355260641,1764355262982,2341
22,tyk,SIGTERM,1764355265042,1764355267443,2401
23,tyk,SIGTERM,1764355269497,1764355271887,2390
24,tyk,SIGTERM,1764355273938,1764355276376,2438
25,tyk,SIGTERM,1764355278433,1764355280811,2378
26,tyk,SIGTERM,1764355282861,1764355285271,2410
27,tyk,SIGTERM,1764355287327,1764355289732,2405
28,tyk,SIGTERM,1764355291788,1764355294213,2425
29,tyk,SIGTERM,1764355296264,1764355298642,2378
30,tyk,SIGTERM,1764355300699,1764355303093,2394
31,tyk,SIGTERM,1764355305146,1764355307544,2398
32,tyk,SIGTERM,1764355309582,1764355311979,2397
33,tyk,SIGTERM,1764355314032,1764355316411,2379
34,tyk,SIGTERM,1764355318464,1764355320849,2385
35,tyk,SIGTERM,1764355322906,1764355325314,2408
36,tyk,SIGTERM,1764355327375,1764355329746,2371
37,tyk,SIGTERM,1764355331795,1764355334214,2419
38,tyk,SIGTERM,1764355336276,1764355338660,2384
39,tyk,SIGTERM,1764355340717,1764355343126,2409
40,tyk,SIGTERM,1764355345178,1764355347543,2365
41,tyk,SIGTERM,1764355349593,1764355351966,2373
42,tyk,SIGTERM,1764355354010,1764355356407,2397
43,tyk,SIGTERM,1764355358454,1764355360848,2394
44,tyk,SIGTERM,1764355362900,1764355365329,2429
45,tyk,SIGTERM,1764355367381,1764355369828,2447
46,tyk,SIGTERM,1764355371884,1764355374242,2358
47,tyk,SIGTERM,1764355376277,1764355378713,2436
48,tyk,SIGTERM,1764355380768,1764355383192,2424
49,tyk,SIGTERM,1764355385247,1764355387613,2366
50,tyk,SIGTERM,1764355389647,1764355392025,2378
51,tyk,SIGTERM,1764355394077,1764355396453,2376
52,tyk,SIGTERM,1764355398505,1764355400907,2402
53,tyk,SIGTERM,1764355402964,1764355405329,2365
54,tyk,SIGTERM,1764355407388,1764355409804,2416
55,tyk,SIGTERM,1764355411857,1764355414205,2348
56,tyk,SIGTERM,1764355416265,1764355418641,2376
