gateway,signal,mean,std,median,min,max,count
caddy,SIGKILL,192.6,14.73,191.0,165,251,100
caddy,SIGTERM,303.94,17.47,302.5,262,367,100
haproxy,SIGKILL,192.86,10.75,193.0,162,225,100
haproxy,SIGTERM,302.79,19.66,301.0,260,359,100
nginx,SIGKILL,134.19,15.49,133.5,108,213,100
nginx,SIGTERM,253.52,17.41,252.0,219,307,100
traefik,SIGKILL,468.13,147.68,426.5,237,978,100
traefik,SIGTERM,581.81,143.33,565.0,328,1022,100
tyk,SIGKILL,251.71,17.83,250.0,221,324,100
tyk,SIGTERM,1381.0,19.95,1382.0,1342,1426,100
