iteration,timestamp_ms,response,success,phase
1,1764329057269,response from echo-B,True,before
1,1764329057333,response from echo-B,True,before
1,1764329057391,response from echo-B,True,before
1,1764329057451,response from echo-B,True,before
1,1764329057511,response from echo-B,True,before
1,1764329057574,response from echo-B,True,before
1,1764329057636,response from echo-B,True,before
1,1764329057693,response from echo-B,True,before
1,1764329057755,response from echo-B,True,before
1,1764329057813,response from echo-B,True,before
1,1764329057875,response from echo-B,True,before
1,1764329057933,response from echo-B,True,before
1,1764329057992,response from echo-B,True,before
1,1764329058050,response from echo-B,True,before
1,1764329058104,response from echo-B,True,before
1,1764329058166,response from echo-B,True,before
1,1764329058225,response from echo-B,True,before
1,1764329058284,response from echo-B,True,before
1,1764329058344,response from echo-B,True,before
1,1764329058415,response from echo-B,True,before
1,1764329058478,response from echo-B,True,before
1,1764329058537,response from echo-B,True,before
1,1764329058596,response from echo-B,True,before
1,1764329058658,response from echo-B,True,before
1,1764329058720,response from echo-B,True,before
1,1764329058778,response from echo-B,True,before
1,1764329058838,response from echo-B,True,before
1,1764329058900,response from echo-B,True,before
1,1764329058959,response from echo-B,True,before
1,1764329059021,response from echo-B,True,before
1,1764329059083,response from echo-B,True,before
1,1764329059144,response from echo-B,True,before
1,1764329059205,response from echo-B,True,before
1,1764329059261,response from echo-B,True,before
1,1764329059322,response from echo-B,True,before
1,1764329059382,response from echo-B,True,before
1,1764329059444,response from echo-B,True,before
1,1764329059509,response from echo-B,True,before
1,1764329059573,response from echo-B,True,before
1,1764329059634,response from echo-B,True,before
1,1764329059695,response from echo-B,True,before
1,1764329059758,response from echo-B,True,before
1,1764329059823,response from echo-B,True,before
1,1764329059886,response from echo-B,True,before
1,1764329059950,response from echo-B,True,before
1,1764329060013,response from echo-B,True,before
1,1764329060073,response from echo-B,True,before
1,1764329060133,response from echo-B,True,before
1,1764329060196,response from echo-B,True,before
1,1764329060261,response from echo-B,True,before
1,1764329060269,SWITCH_EVENT,True,event
1,1764329060457,response from echo-B,True,after
1,1764329060516,response from echo-A,True,after
1,1764329060578,response from echo-A,True,after
1,1764329060638,response from echo-A,True,after
1,1764329060707,response from echo-A,True,after
1,1764329060772,response from echo-A,True,after
1,1764329060830,response from echo-A,True,after
1,1764329060891,response from echo-A,True,after
1,1764329060958,response from echo-A,True,after
1,1764329061019,response from echo-A,True,after
1,1764329061083,response from echo-A,True,after
1,1764329061143,response from echo-A,True,after
1,1764329061204,response from echo-A,True,after
1,1764329061266,response from echo-A,True,after
1,1764329061326,response from echo-A,True,after
1,1764329061389,response from echo-A,True,after
1,1764329061449,response from echo-A,True,after
1,1764329061508,response from echo-A,True,after
1,1764329061570,response from echo-A,True,after
1,1764329061630,response from echo-A,True,after
1,1764329061688,response from echo-A,True,after
1,1764329061749,response from echo-A,True,after
1,1764329061809,response from echo-A,True,after
1,1764329061872,response from echo-A,True,after
1,1764329061935,response from echo-A,True,after
1,1764329061993,response from echo-A,True,after
1,1764329062052,response from echo-A,True,after
1,1764329062110,response from echo-A,True,after
1,1764329062169,response from echo-A,True,after
1,1764329062232,response from echo-A,True,after
1,1764329062293,response from echo-A,True,after
1,1764329062355,response from echo-A,True,after
1,1764329062415,response from echo-A,True,after
1,1764329062477,response from echo-A,True,after
1,1764329062538,response from echo-A,True,after
1,1764329062598,response from echo-A,True,after
1,1764329062657,response from echo-A,True,after
