run,signal,t_kill,t_restart_cmd,t_service_back,downtime_ms
1,SIGTERM,1760354091351,1760354091689,1760354091802,451
2,SIGTERM,1760354092807,1760354093098,1760354093210,403
3,SIGTERM,1760354094212,1760354094486,1760354094598,386
4,SIGTERM,1760354095599,1760354095891,1760354096002,403
5,SIGTERM,1760354097006,1760354097309,1760354097417,411
6,SIGTERM,1760354098419,1760354098741,1760354098853,434
7,SIGTERM,1760354099857,1760354100148,1760354100260,403
8,SIGTERM,1760354101265,1760354101557,1760354101669,404
9,SIGTERM,1760354102674,1760354102984,1760354103092,418
10,SIGTERM,1760354104094,1760354104365,1760354104474,380
11,SIGTERM,1760354105477,1760354105765,1760354105876,399
12,SIGTERM,1760354106879,1760354107200,1760354107312,433
13,SIGTERM,1760354108314,1760354108572,1760354108684,370
14,SIGTERM,1760354109684,1760354110000,1760354110110,426
15,SIGTERM,1760354111112,1760354111419,1760354111530,418
16,SIGTERM,1760354112534,1760354112836,1760354112945,411
17,SIGTERM,1760354113949,1760354114267,1760354114374,425
18,SIGTERM,1760354115377,1760354115679,1760354115791,414
19,SIGTERM,1760354116797,1760354117115,1760354117228,431
20,SIGTERM,1760354118233,1760354118550,1760354118663,430
21,SIGTERM,1760354119668,1760354119938,1760354120052,384
22,SIGTERM,1760354121057,1760354121349,1760354121462,405
23,SIGTERM,1760354122467,1760354122784,1760354122897,430
24,SIGTERM,1760354123902,1760354124203,1760354124313,411
25,SIGTERM,1760354125315,1760354125630,1760354125742,427
26,SIGTERM,1760354126747,1760354127085,1760354127198,451
27,SIGTERM,1760354128202,1760354128488,1760354128602,400
28,SIGTERM,1760354129607,1760354129908,1760354130021,414
29,SIGTERM,1760354131023,1760354131333,1760354131443,420
30,SIGTERM,1760354132444,1760354132758,1760354132867,423
