iteration,signal,kill_ts_ms,down_ts_ms,up_ts_ms,downtime_from_kill_ms,downtime_from_down_ms
1,SIGTERM,1760366810424,1760366810456,1760366810745,321,289
2,SIGTERM,1760366812748,1760366812790,1760366813113,365,323
3,SIGTERM,1760366815117,1760366815163,1760366815492,375,329
4,SIGTERM,1760366817493,1760366817531,1760366817839,346,308
5,SIGTERM,1760366819844,1760366819878,1760366820164,320,286
6,SIGTERM,1760366822165,1760366822208,1760366822495,330,287
7,SIGTERM,1760366824495,1760366824547,1760366824885,390,338
8,SIGTERM,1760366826888,1760366826943,1760366827255,367,312
9,SIGTERM,1760366829260,1760366829312,1760366829601,341,289
10,SIGTERM,1760366831606,1760366831658,1760366831939,333,281
11,SIGTERM,1760366833943,1760366833990,1760366834281,338,291
12,SIGTERM,1760366836282,1760366836332,1760366836648,366,316
13,SIGTERM,1760366838652,1760366838701,1760366839005,353,304
14,SIGTERM,1760366841009,1760366841056,1760366841362,353,306
15,SIGTERM,1760366843365,1760366843436,1760366843736,371,300
16,SIGTERM,1760366845741,1760366845780,1760366846117,376,337
17,SIGTERM,1760366848123,1760366848171,1760366848454,331,283
18,SIGTERM,1760366850458,1760366850492,1760366850803,345,311
19,SIGTERM,1760366852807,1760366852857,1760366853146,339,289
20,SIGTERM,1760366855150,1760366855198,1760366855533,383,335
21,SIGTERM,1760366857538,1760366857593,1760366857888,350,295
22,SIGTERM,1760366859890,1760366859924,1760366860251,361,327
23,SIGTERM,1760366862252,1760366862286,1760366862601,349,315
24,SIGTERM,1760366864606,1760366864649,1760366864949,343,300
25,SIGTERM,1760366866954,1760366867008,1760366867319,365,311
26,SIGTERM,1760366869324,1760366869378,1760366869657,333,279
27,SIGTERM,1760366871662,1760366871711,1760366872037,375,326
28,SIGTERM,1760366874042,1760366874080,1760366874378,336,298
29,SIGTERM,1760366876383,1760366876433,1760366876710,327,277
30,SIGTERM,1760366878715,1760366878762,1760366879076,361,314
31,SIGTERM,1760366881081,1760366881129,1760366881416,335,287
32,SIGTERM,1760366883418,1760366883463,1760366883775,357,312
33,SIGTERM,1760366885781,1760366885823,1760366886111,330,288
34,SIGTERM,1760366888116,1760366888162,1760366888477,361,315
35,SIGTERM,1760366890480,1760366890528,1760366890847,367,319
36,SIGTERM,1760366892850,1760366892896,1760366893185,335,289
37,SIGTERM,1760366895190,1760366895237,1760366895542,352,305
38,SIGTERM,1760366897547,1760366897601,1760366897920,373,319
39,SIGTERM,1760366899924,1760366899963,1760366900282,358,319
40,SIGTERM,1760366902285,1760366902319,1760366902622,337,303
41,SIGTERM,1760366904627,1760366904673,1760366904997,370,324
42,SIGTERM,1760366906998,1760366907048,1760366907358,360,310
43,SIGTERM,1760366909358,1760366909407,1760366909738,380,331
44,SIGTERM,1760366911744,1760366911811,1760366912108,364,297
45,SIGTERM,1760366914112,1760366914167,1760366914460,348,293
46,SIGTERM,1760366916465,1760366916513,1760366916834,369,321
47,SIGTERM,1760366918838,1760366918886,1760366919203,365,317
48,SIGTERM,1760366921207,1760366921252,1760366921577,370,325
